symbol,session_date,side,play,entry,sl,tp,or_high,or_low,volume,signal_open_ms,entry_bar_open_ms,outcome,exit_price,exit_bar_open_ms,pnl_r,pnl_usdt,notional_usdt,resolve_note,bars_seen
QQQUSDT,2026-04-20,SHORT,ORB_BREAKOUT_SHORT,646.57,646.96558183,,648.54,646.59,58.33,1776692700000,1776692700000,loss,646.96558183,1776693120000,-1.0,-85.0,138930.6733,resolved:auto,3
QQQUSDT,2026-04-21,LONG,ORB_BREAKOUT_LONG,648.82,648.42381687,,648.8,646.82,53.37,1776779700000,1776779700000,loss,648.42381687,1776782760000,-1.0,-85.0,139202.545,resolved:auto,47
QQQUSDT,2026-04-22,LONG,ORB_BREAKOUT_LONG,650.65,650.25029424,,650.63,648.95,109.38,1776866700000,1776866700000,session_close,655.26,1776887940000,11.533484,980.3461,138364.9062,resolved:session_close,350
QQQUSDT,2026-04-23,LONG,ORB_BREAKOUT_LONG,654.81,654.39891608,,654.79,652.48,142.42,1776951900000,1776951900000,loss,654.39891608,1776952200000,-1.0,-85.0,135395.347,resolved:auto,1
QQQUSDT,2026-04-24,SHORT,ORB_BREAKOUT_SHORT,658.31,658.73014936,,660.04,658.33,125.51,1777038600000,1777038600000,loss,658.73014936,1777039260000,-1.0,-85.0,133182.0427,resolved:auto,7
QQQUSDT,2026-04-27,SHORT,ORB_BREAKOUT_SHORT,662.78,663.16096197,,664.01,662.8,120.27,1777297500000,1777297500000,loss,663.16096197,1777298040000,-1.0,-85.0,147879.0652,resolved:auto,5
QQQUSDT,2026-04-28,SHORT,ORB_BREAKOUT_SHORT,656.07,656.46489326,,660.08,656.09,212.32,1777386900000,1777386900000,loss,656.46489326,1777387320000,-1.0,-85.0,141217.7812,resolved:auto,3
QQQUSDT,2026-04-30,SHORT,ORB_BREAKOUT_SHORT,660.39,660.80752276,,665.42,660.41,163.69,1777557000000,1777557000000,loss,660.80752276,1777557660000,-1.0,-85.0,134443.3295,resolved:auto,7
QQQUSDT,2026-05-01,LONG,ORB_BREAKOUT_LONG,673.01,672.59087173,,672.99,669.21,262.74,1777643400000,1777643400000,loss,672.59087173,1777646160000,-1.0,-85.0,136487.6915,resolved:auto,42
QQQUSDT,2026-05-04,LONG,ORB_BREAKOUT_LONG,675.52,675.13027685,,675.5,674.18,80.91,1777902900000,1777902900000,loss,675.13027685,1777903620000,-1.0,-85.0,147333.3057,resolved:auto,8
QQQUSDT,2026-05-05,LONG,ORB_BREAKOUT_LONG,680.5,680.08214993,,680.48,678.29,157.47,1777988700000,1777988700000,loss,680.08214993,1777989600000,-1.0,-85.0,138428.8388,resolved:auto,11
QQQUSDT,2026-05-06,LONG,ORB_BREAKOUT_LONG,690.29,689.85499637,,690.27,686.88,126.56,1778075400000,1778075400000,loss,689.85499637,1778076060000,-1.0,-85.0,134883.1273,resolved:auto,7
QQQUSDT,2026-05-07,LONG,ORB_BREAKOUT_LONG,697.37,696.93024663,,697.35,696.06,226.78,1778161800000,1778161800000,loss,696.93024663,1778169720000,-1.0,-85.0,134794.7601,resolved:auto,128
QQQUSDT,2026-05-08,LONG,ORB_BREAKOUT_LONG,702.54,702.06233615,,702.52,699.85,862.55,1778247900000,1778247900000,session_close,711.08,1778270340000,17.878682,1519.688,125016.5781,resolved:session_close,370
QQQUSDT,2026-05-11,SHORT,ORB_BREAKOUT_SHORT,710.35,710.77484602,,714.0,710.37,345.7,1778509500000,1778509500000,loss,710.77484602,1778509800000,-1.0,-85.0,142121.4915,resolved:auto,1
QQQUSDT,2026-05-13,SHORT,ORB_BREAKOUT_SHORT,707.98,708.45393356,,710.22,708.0,424.14,1778679900000,1778679900000,loss,708.45393356,1778680440000,-1.0,-85.0,126976.2369,resolved:auto,5
QQQUSDT,2026-05-14,LONG,ORB_BREAKOUT_LONG,718.46,717.99284741,,718.44,714.57,608.82,1778766300000,1778766300000,loss,717.99284741,1778766840000,-1.0,-85.0,130726.2366,resolved:auto,5
QQQUSDT,2026-05-15,LONG,ORB_BREAKOUT_LONG,710.57,710.0853226,,710.55,707.22,441.95,1778854200000,1778854200000,loss,710.0853226,1778856600000,-1.0,-85.0,124615.7754,resolved:auto,36
QQQUSDT,2026-05-18,SHORT,ORB_BREAKOUT_SHORT,708.19,708.66267393,,712.93,708.21,553.52,1779112800000,1779112800000,loss,708.66267393,1779113160000,-1.0,-85.0,127352.3801,resolved:auto,2
QQQUSDT,2026-05-19,SHORT,ORB_BREAKOUT_SHORT,700.44,700.92273293,,705.72,700.46,1061.3,1779199500000,1779199500000,loss,700.92273293,1779203760000,-1.0,-85.0,123334.0348,resolved:auto,67
QQQUSDT,2026-05-20,LONG,ORB_BREAKOUT_LONG,707.65,707.14949799,,707.63,704.54,655.72,1779286500000,1779286500000,session_close,713.43,1779307140000,11.548405,981.6144,120179.837,resolved:session_close,340
QQQUSDT,2026-05-21,LONG,ORB_BREAKOUT_LONG,710.49,709.98749814,,710.47,708.45,570.01,1779371400000,1779371400000,loss,709.98749814,1779372900000,-1.0,-85.0,120181.9432,resolved:auto,21
QQQUSDT,2026-05-22,SHORT,ORB_BREAKOUT_SHORT,717.41,717.90078745,,721.01,717.43,488.1,1779459300000,1779459300000,loss,717.90078745,1779460260000,-1.0,-85.0,124249.0003,resolved:auto,12
QQQUSDT,2026-05-26,LONG,ORB_BREAKOUT_LONG,727.2,726.71085865,,727.18,724.65,1034.18,1779803100000,1779803100000,loss,726.71085865,1779803580000,-1.0,-85.0,126368.38,resolved:auto,4
QQQUSDT,2026-05-27,SHORT,ORB_BREAKOUT_SHORT,728.33,728.82627411,,733.67,728.35,1996.13,1779891900000,1779891900000,loss,728.82627411,1779892680000,-1.0,-85.0,124745.6773,resolved:auto,9
QQQUSDT,2026-05-28,SHORT,ORB_BREAKOUT_SHORT,727.22,727.72746882,,731.13,727.24,398.1,1779975900000,1779975900000,loss,727.72746882,1779976260000,-1.0,-85.0,121807.8778,resolved:auto,2
QQQUSDT,2026-05-29,LONG,ORB_BREAKOUT_LONG,739.68,739.1793861,,739.66,737.12,1138.89,1780062300000,1780062300000,loss,739.1793861,1780064100000,-1.0,-85.0,125591.3989,resolved:auto,26
QQQUSDT,2026-06-01,LONG,ORB_BREAKOUT_LONG,740.36,739.88722076,,740.34,736.66,312.03,1780326900000,1780326900000,session_close,743.44,1780343940000,6.514668,553.7468,133107.7904,resolved:session_close,280
QQQUSDT,2026-06-02,LONG,ORB_BREAKOUT_LONG,743.08,742.6032407,,743.06,740.04,363.5,1780408200000,1780408200000,loss,742.6032407,1780410360000,-1.0,-85.0,132481.5268,resolved:auto,32
QQQUSDT,2026-06-03,SHORT,ORB_BREAKOUT_SHORT,744.61,745.09027649,,749.18,744.63,2729.32,1780494300000,1780494300000,loss,745.09027649,1780495560000,-1.0,-85.0,131782.1116,resolved:auto,17
QQQUSDT,2026-06-04,SHORT,ORB_BREAKOUT_SHORT,734.33,734.81461389,,737.88,734.35,1982.86,1780581600000,1780581600000,loss,734.81461389,1780582260000,-1.0,-85.0,128799.548,resolved:auto,7
QQQUSDT,2026-06-05,SHORT,ORB_BREAKOUT_SHORT,728.18,728.75624861,,732.24,728.2,3106.78,1780667100000,1780667100000,session_close,706.4,1780689540000,37.796187,3212.6759,107410.758,resolved:session_close,370
